prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,The capital of Germany is, Berlin,19846,0.195312, Berlin| in| ______| known| \,0.195312|0.081055|0.071777|0.071777|0.063477,14,"Important|:| only| reply| with| a| single| token|.
|The| capital| of| Germany| is",52280|25|1172|9851|448|264|3175|3950|624|785|6722|315|9856|374,905.65
1,Die Hauptstadt von Deutschland ist, so,773,0.054932, so| ein| mit| eine|这么大,0.054932|0.021484|0.016235|0.016235|0.013428,15,"Important|:| only| reply| with| a| single| token|.
|Die| Haupt|stadt| von| Deutschland| ist",52280|25|1172|9851|448|264|3175|3950|624|18175|89931|44278|6538|44979|5999,38.28
2,La capitale de l'Allemagne est, __,1304,0.095703," __|...| le|...
| which",0.095703|0.069824|0.061768|0.054443|0.045166,19,"Important|:| only| reply| with| a| single| token|.
|La| capit|ale| de| l|'|Al|lem|agne| est",52280|25|1172|9851|448|264|3175|3950|624|8747|60410|1574|409|326|6|2101|3433|23870|1788,180.46
3,La capital de Alemania es, ,220,0.570312," | A| M| ""| C",0.570312|0.072266|0.049805|0.038818|0.023560,15,"Important|:| only| reply| with| a| single| token|.
|La| capital| de| Ale|mania| es",52280|25|1172|9851|448|264|3175|3950|624|8747|6722|409|19081|51568|1531,33.54
4,La capitale della Germania è,...,1112,0.077637,"...|:

| __|:
| ______",0.077637|0.068359|0.068359|0.064453|0.056641,16,"Important|:| only| reply| with| a| single| token|.
|La| capit|ale| della| German|ia| è",52280|25|1172|9851|448|264|3175|3950|624|8747|60410|1574|15230|5938|685|11422,156.08
5,A capital da Alemanha é,:,25,0.097168,":|:
|:

| | """,0.097168|0.097168|0.091309|0.052002|0.043213,16,"Important|:| only| reply| with| a| single| token|.
|A| capital| da| Ale|man|ha| é",52280|25|1172|9851|448|264|3175|3950|624|32|6722|2994|19081|1515|4223|3958,33.24
6,Столица Германии —, —,1959,0.166992," —| how| | это|
",0.166992|0.095215|0.061523|0.032959|0.032959,18,"Important|:| only| reply| with| a| single| token|.
|Ст|ол|и|ца| Г|ер|м|ании| —",52280|25|1172|9851|448|264|3175|3950|624|73498|7819|1802|86894|60465|7599|6442|134348|1959,34.54
7,ドイツの首都は,2,17,0.164062,2|$|1|3|4,0.164062|0.119629|0.077148|0.063965|0.056641,13,"Important|:| only| reply| with| a| single| token|.
|ドイツ|の|首都|は",52280|25|1172|9851|448|264|3175|3950|624|142765|15767|106114|15322,33.74
8,德国的首都是,柏林,114121,0.071289,柏林|什么|哪里| Berlin|哥,0.071289|0.062988|0.040527|0.040527|0.038086,13,"Important|:| only| reply| with| a| single| token|.
|德国|的|首|都是",52280|25|1172|9851|448|264|3175|3950|624|104114|9370|59975|100132,33.17
9,독일의 수도는, \\,24984,0.035889," \\| �| 수| $\|
",0.035889|0.033691|0.013245|0.012451|0.009705,14,"Important|:| only| reply| with| a| single| token|.
|독|일|의| 수도|는",52280|25|1172|9851|448|264|3175|3950|624|129502|32077|20401|134013|16560,33.97
10,Hoofdstad van Duitsland is, a,264,0.714844, a| the| an| | in,0.714844|0.117188|0.026123|0.010193|0.009583,18,"Important|:| only| reply| with| a| single| token|.
|Ho|of|dst|ad| van| D|uits|land| is",52280|25|1172|9851|448|264|3175|3950|624|47978|1055|15658|329|5242|422|11797|1933|374,33.59
11,Tysklands huvudstad är, en,662,0.617188," en| | et|:

| t",0.617188|0.128906|0.012024|0.006042|0.005676,18,"Important|:| only| reply| with| a| single| token|.
|T|ys|k|lands| h|uv|ud|stad| är",52280|25|1172|9851|448|264|3175|3950|624|51|1047|74|8166|305|12058|661|46840|18593,33.52
