prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of Germany is, Berlin,0.195312,14,905.65,5.3116,6.2457,1.1693,103.3784,55.1657,116.6207,0.832879,0.914398,1789.7346
1,Die Hauptstadt von Deutschland ist, so,0.054932,15,38.28,6.8037,11.4772,1.2248,101.6045,54.0184,117.1691,0.839650,0.914450,1982.4668
2,La capitale de l'Allemagne est, __,0.095703,19,180.46,5.1872,6.0357,1.2337,97.2893,49.4747,117.7741,0.833506,0.913852,1919.6713
3,La capital de Alemania es, ,0.570312,15,33.54,5.4477,3.7128,1.2358,98.8584,54.3635,119.8237,0.833697,0.914022,1873.1057
4,La capitale della Germania è,...,0.077637,16,156.08,5.0389,5.7775,1.2090,97.7105,53.1482,119.7367,0.836614,0.914773,1965.1450
5,A capital da Alemanha é,:,0.097168,16,33.24,5.7325,6.2810,1.2231,100.6344,52.7481,115.5759,0.834464,0.912452,1900.9104
6,Столица Германии —, —,0.166992,18,34.54,5.6645,8.5714,1.1709,98.2905,49.5305,111.9232,0.837072,0.912926,1766.7888
7,ドイツの首都は,2,0.164062,13,33.74,6.7049,7.0381,1.1290,99.9810,57.4953,120.0938,0.839035,0.913640,1970.2139
8,德国的首都是,柏林,0.071289,13,33.17,5.6864,7.6991,1.1717,101.8006,57.9262,120.6957,0.838927,0.915391,1825.5598
9,독일의 수도는, \\,0.035889,14,33.97,7.3699,12.3752,1.1182,99.8591,55.1113,120.7963,0.839901,0.910765,2001.3845
10,Hoofdstad van Duitsland is, a,0.714844,18,33.59,5.2811,2.4165,1.2399,98.3732,50.6617,111.6757,0.831886,0.912565,1738.6765
11,Tysklands huvudstad är, en,0.617188,18,33.52,5.9010,3.9238,1.2448,97.8508,50.3736,113.5092,0.833626,0.912187,1838.0156
