layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.455266,0.173482,0.580334,0.959458,1.248347
1,38.283882,1.786667,18.222427,25.310865,27.679199
2,43.737034,2.255164,24.203463,28.912233,31.954481
3,59.212543,5.322352,26.494410,39.077782,48.413044
4,69.915154,5.206432,29.183912,46.171860,53.191856
5,78.267006,4.041850,32.326195,51.735565,56.665051
6,82.783653,6.975574,32.761292,54.654396,67.350014
7,87.733696,7.391013,34.676105,57.905785,67.217896
8,93.269608,6.414745,36.782902,61.621597,70.709274
9,103.653633,6.278986,41.837307,68.500610,77.297012
10,112.519608,6.321273,47.057972,74.375847,82.926682
11,115.397766,7.086112,50.864117,76.268425,88.210464
12,118.577583,7.315902,54.022022,78.362206,88.421646
13,121.197868,7.709467,57.854683,80.090309,90.010414
14,129.924637,8.451976,65.239304,85.859154,97.841103
15,132.252274,8.133411,69.236488,87.414612,97.817467
16,136.786972,8.691181,75.698593,90.403664,100.143539
17,137.564545,8.336715,76.797874,90.948555,102.313347
18,142.567520,8.334407,79.780273,94.254547,103.454216
19,153.557739,8.157631,86.721977,101.538750,111.358757
20,176.401047,11.457414,97.455154,116.586540,132.429398
21,206.337799,12.212636,107.555557,136.370331,148.139114
22,235.546768,12.733288,144.301651,155.714752,166.473923
23,291.239197,19.791632,157.047073,192.430206,215.078934
24,327.572174,23.913523,184.541550,216.369049,246.803925
25,368.368591,21.071489,234.060791,243.456085,269.873169
26,405.881836,22.631559,272.938293,268.255737,295.611694
27,458.460388,25.978010,348.185547,303.058075,330.053436
28,121.525673,7.265518,57.274574,80.444611,85.533829
