layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,0.000000,0.000000,1.059082,0.000000,0.000000
1,12.997002,1.534747,29.459173,8.585119,10.590131
2,16.134981,1.561366,35.675579,10.689178,11.933182
3,18.672150,2.683301,40.423737,12.388279,15.213584
4,21.032770,3.123761,45.316692,13.969058,17.092030
5,34.297733,3.728903,57.929710,22.724106,25.498081
6,32.793476,3.791806,53.712418,21.731548,24.913965
7,35.237194,3.981457,55.843597,23.372663,26.612879
8,40.247334,4.026969,58.465679,26.678864,29.657263
9,43.618450,4.484497,64.447189,28.920115,31.529694
10,50.173367,4.606468,70.011467,33.216419,36.061157
11,54.579887,4.672834,74.494545,36.133003,39.888958
12,55.657131,5.156600,74.547516,36.833839,41.200497
13,53.825436,5.067977,74.056236,35.602497,39.994484
14,62.315685,5.755655,85.272713,41.196846,48.362450
15,64.199905,5.631352,89.625946,42.457558,49.385551
16,69.192711,6.090013,96.366615,45.729572,52.198257
17,69.495773,6.417239,97.002953,45.917973,53.037369
18,73.371223,7.894598,107.137932,48.427505,57.024899
19,79.219368,9.582381,122.990356,52.229053,63.752087
20,82.662766,9.699999,134.171951,54.523251,66.405014
21,109.091293,14.499273,153.124847,71.970055,91.147980
22,134.157745,18.756514,193.999771,88.471344,110.776215
23,170.794312,20.205973,215.935669,112.871277,136.654800
24,235.612762,23.269449,266.387787,156.053864,173.675049
25,283.799591,27.545311,324.377197,188.105499,207.954056
26,324.757172,36.104710,372.363861,215.001160,261.155121
27,367.523224,39.377998,474.074921,243.294128,295.625732
28,78.901344,13.907721,94.393303,51.988602,70.763893
