prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of Japan is, the,0.167969,5,34.89,6.4122,6.4448,1.1058,104.7065,96.1962,154.5509,0.840129,0.922032,1920.0072
1,Die Hauptstadt von Japan ist, ein,0.119629,6,33.21,9.4679,10.4271,1.2270,99.7355,92.0961,149.7656,0.842992,0.914543,1959.0209
2,La capitale du Japon est, ,0.519531,7,33.28,6.9109,5.3907,1.2574,92.8804,81.3733,144.9960,0.843526,0.923786,2018.4991
3,La capital de Japón es, ,0.251953,7,33.15,8.0605,7.0045,1.2180,94.6047,81.9202,147.1393,0.836950,0.916991,1909.0077
4,La capitale del Giappone è, ,0.349609,8,33.54,7.2939,6.2055,1.2436,93.0685,75.0887,139.3449,0.843890,0.920080,2110.6501
5,A capital do Japão é, ,0.404297,7,33.15,7.9765,7.5931,1.1820,96.0175,74.6550,137.2565,0.840888,0.918773,2150.7686
6,Столица Японии —, это,0.126953,8,33.14,8.6316,9.8390,1.1389,97.2812,76.3233,139.2780,0.837364,0.911146,2052.1660
7,日本の首都は,$,0.121582,3,33.60,8.6831,6.8400,1.0013,95.3299,152.4895,210.0329,0.854807,0.917270,2067.2568
8,日本的首都是,东京,0.464844,4,32.60,9.1859,5.7214,1.0846,103.8837,122.5909,181.5412,0.859125,0.925225,1968.4617
9,일본의 수도는, ,0.066406,5,32.81,12.0841,11.9765,0.9543,96.8187,103.7828,169.5984,0.850133,0.914697,1999.8115
