prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,The capital of Japan is, the,279,0.167969," the| known| ""| set| ",0.167969|0.115234|0.108398|0.084473|0.051270,5,The| capital| of| Japan| is,785|6722|315|6323|374,34.89
1,Die Hauptstadt von Japan ist, ein,4368,0.119629, ein| J| auf| mit| der,0.119629|0.093262|0.031250|0.025024|0.024292,6,Die| Haupt|stadt| von| Japan| ist,18175|89931|44278|6538|6323|5999,33.21
2,La capitale du Japon est, ,220,0.519531, | :| un| une| en,0.519531|0.037598|0.031250|0.017822|0.015625,7,La| capit|ale| du| J|apon| est,8747|60410|1574|3845|619|10736|1788,33.28
3,La capital de Japón es, ,220,0.251953, | el| la| J| ______,0.251953|0.143555|0.046631|0.037598|0.035156,7,La| capital| de| J|ap|ón| es,8747|6722|409|619|391|3165|1531,33.15
4,La capitale del Giappone è, ,220,0.349609, | il| $| C| un,0.349609|0.088379|0.034668|0.023804|0.022461,8,La| capit|ale| del| Gi|app|one| è,8747|60410|1574|1594|15392|676|603|11422,33.54
5,A capital do Japão é, ,220,0.404297, | um| represent| uma| d,0.404297|0.037598|0.033203|0.031128|0.007629,7,A| capital| do| J|ap|ão| é,32|6722|653|619|391|3413|3958,33.15
6,Столица Японии —, это,67879,0.126953, это| д| к| Д| с,0.126953|0.026489|0.018188|0.017090|0.017090,8,Ст|ол|и|ца| Я|пон|ии| —,73498|7819|1802|86894|128557|127461|46173|1959,33.14
7,日本の首都は,$,3,0.121582,"$|？
|？

|$\|、",0.121582|0.088867|0.078613|0.064941|0.061035,3,日本の|首都|は,131888|106114|15322,33.60
8,日本的首都是,东京,107513,0.464844,东京|首都|哪里|____|巴黎,0.464844|0.066895|0.035889|0.021729|0.020386,4,日本|的|首|都是,101059|9370|59975|100132,32.60
9,일본의 수도는, ,220,0.066406," | �|,|?
| �",0.066406|0.026001|0.019043|0.017822|0.014832,5,일|본|의| 수도|는,32077|125822|20401|134013|16560,32.81
