layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,0.000000,0.000000,1.059082,0.000000,0.000000
1,12.374022,2.388554,29.649193,8.299801,12.774228
2,14.366386,2.097102,35.246635,9.674380,13.970657
3,16.773581,2.503556,39.512508,11.305644,17.135464
4,20.604925,3.752171,45.181538,13.879220,22.822519
5,24.903944,3.808190,52.521797,16.796492,25.641087
6,22.175556,3.528495,48.932720,14.948120,23.137079
7,23.242285,3.247398,53.250801,15.687280,22.895754
8,24.470118,2.843774,54.964771,16.535017,21.577101
9,30.146557,3.773914,65.711800,20.356911,26.982248
10,35.352150,4.092197,74.136322,23.883263,31.045763
11,39.396309,4.036403,79.714554,26.616159,32.925671
12,42.772774,4.061831,82.693413,28.917700,34.480637
13,43.007385,4.242306,83.074677,29.068014,35.524792
14,50.642826,4.902959,94.039925,34.223339,41.199429
15,50.036449,5.184866,95.577850,33.800678,41.623085
16,52.323830,5.418699,98.399467,35.359570,44.070656
17,54.733788,5.656222,102.675163,36.993019,45.360825
18,58.775608,5.687052,109.664001,39.743557,48.135948
19,63.329021,6.683222,124.692787,42.807995,52.877132
20,67.138550,7.779703,134.164230,45.349625,57.245350
21,77.009697,9.089294,149.122910,52.036942,65.940102
22,107.034981,10.969059,187.434158,72.383736,85.532440
23,160.534225,13.570620,204.398453,108.546959,132.497162
24,210.478867,18.658638,237.875244,142.327606,163.154190
25,256.551361,21.240980,288.622253,173.495438,198.255325
26,312.465302,28.505091,321.549835,211.190536,251.750275
27,365.192596,31.339193,409.020966,247.060440,290.357147
28,91.613464,7.226722,78.505241,62.110111,71.339317
