prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of Germany is, ,0.644531,5,33.24,5.5710,3.1090,1.0934,104.4073,96.2463,150.2947,0.840593,0.920123,1680.7874
1,The capital of France is, Paris,0.191406,5,32.61,6.3868,6.2560,1.0972,106.2506,96.6839,155.6175,0.839625,0.919802,1975.7637
2,The capital of Japan is, the,0.167969,5,32.56,6.4122,6.4448,1.1058,104.7065,96.1962,154.5509,0.840129,0.922032,1920.0072
3,The capital of Italy is, ,0.127930,5,32.56,6.8863,7.9933,1.1049,105.2413,96.3586,152.4046,0.842242,0.921235,1809.5308
4,The capital of Spain is, ,0.193359,5,32.69,6.5553,7.0125,1.1055,105.5192,96.0498,155.5027,0.843338,0.922112,1951.0022
5,The capital of Brazil is, known,0.476562,5,34.12,6.0129,5.1074,1.1064,105.4140,96.5048,153.3363,0.843966,0.921803,1879.0649
6,The capital of Russia is, Saint,0.105957,5,32.51,6.4008,6.7830,1.1045,104.7947,96.0358,154.0123,0.842224,0.920990,1899.1151
7,The capital of China is, ,0.431641,5,32.69,6.0192,4.1437,1.1046,105.2034,96.7990,153.3700,0.839987,0.922218,1851.7986
8,The capital of Australia is, a,0.074707,5,34.55,6.7511,7.5010,1.1044,104.2717,96.0866,154.9848,0.843995,0.922603,1957.1539
9,The capital of Canada is, represented,0.152344,5,32.54,6.2412,6.0388,1.1119,104.8487,96.6080,154.5103,0.840730,0.922403,1937.5549
10,The capital of Egypt is, the,0.129883,5,32.71,6.5995,6.7200,1.1236,105.7041,96.4062,154.7316,0.838379,0.920875,1876.5210
11,The capital of India is, the,0.247070,5,33.15,6.3821,5.1512,1.0992,105.5981,96.4410,153.3246,0.840379,0.921373,1835.6154
