prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of France is, Paris,0.640625,5,23802.66,3.4947,2.9133,1.6760,177.4839,238.1171,382.9510,0.942203,0.962539,7981.2314
1,Die Hauptstadt von Frankreich ist, Paris,0.734375,7,22426.71,3.8212,2.5915,1.4603,189.1573,172.9023,326.7766,0.935129,0.959593,8475.7734
2,La capitale de la France est, Paris,0.757812,7,22914.17,4.1898,2.3952,1.6355,179.0849,177.0651,345.7621,0.937607,0.963489,8824.2168
3,La capital de Francia es, Par,0.519531,6,23023.18,5.1151,4.2068,1.6615,184.3455,200.3032,368.3406,0.936743,0.964029,8923.6475
4,La capitale della Francia è, Par,0.675781,7,21742.71,3.8197,3.0118,1.5458,165.6450,178.4092,344.9988,0.937133,0.962283,8917.0518
5,A capital da França é, Paris,0.824219,6,21055.72,4.4307,1.8896,1.6015,179.2730,207.5266,369.3267,0.937244,0.962550,9044.3301
6,Столица Франции —, П,0.589844,8,21314.64,3.5889,2.7204,1.4969,187.9938,164.2604,319.0229,0.932744,0.959789,8621.0020
7,フランスの首都は,パ,0.201172,4,20781.36,6.2091,5.6732,1.4510,211.6490,263.5538,427.5588,0.940951,0.964888,8718.4980
8,法国的首都是,哪里,0.250000,4,21208.22,4.7185,3.5418,1.6210,157.0844,255.2033,398.5993,0.938518,0.963152,8011.3608
9,프랑스의 수도는, �,0.250000,6,20395.77,5.6690,4.2984,1.4239,199.1752,193.0335,351.4034,0.939971,0.963753,8437.6562
10,De hoofdstad van Frankrijk is, P,0.761719,8,21657.02,2.2980,2.3456,1.5275,162.2287,169.1961,328.6438,0.931651,0.958968,8890.7617
11,Frankrikes huvudstad är, en,0.076172,7,21674.62,7.5852,9.5459,1.4620,178.4678,187.1131,336.2782,0.932715,0.960557,8188.5728
