layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,2.129387,0.292939,0.668543,1.452350,1.619684
1,61.005611,9.126676,41.591423,41.063087,52.195526
2,62.807098,9.407226,50.985889,42.298203,53.329243
3,69.666107,11.872880,55.381439,46.880138,63.149925
4,81.650055,16.054659,60.921757,54.834000,84.965736
5,98.569344,22.505962,67.735535,66.121658,114.559181
6,107.860832,26.208824,75.825279,72.297691,129.152008
7,115.975571,27.729549,81.104332,77.731499,133.118469
8,120.765633,27.622707,85.311081,80.996376,135.397980
9,126.858780,30.204472,91.767693,85.034523,149.129761
10,134.587723,30.357681,107.755714,90.392937,152.499863
11,143.355820,31.994431,117.776215,96.303322,153.980392
12,150.904953,32.619385,124.960518,101.463898,154.198608
13,160.963593,32.337021,132.637390,108.425545,152.110657
14,164.303391,32.856934,135.795212,110.679077,158.668427
15,166.975845,33.852558,139.568085,112.467964,164.235275
16,169.277176,33.862732,153.403946,114.141716,167.089386
17,172.845749,35.957127,165.418610,116.496002,170.859482
18,175.394806,36.201176,167.867004,118.236153,171.957275
19,174.636276,35.785877,165.849625,117.732338,169.823730
20,177.681427,37.355961,169.602631,119.728516,173.890518
21,180.265030,37.566032,177.440659,121.467812,175.274078
22,181.160278,38.185940,180.871872,122.037537,177.981140
23,182.299118,38.278954,185.540848,122.802452,178.667908
24,178.143173,37.437000,181.425827,120.000801,173.937637
25,177.563034,37.473415,183.863495,119.618401,172.818115
26,178.817078,37.592712,188.216873,120.447838,174.108551
27,182.044037,37.454037,196.402695,122.680992,175.982910
28,185.673859,39.005257,201.934464,125.047646,181.796432
29,187.847916,40.195190,208.023422,126.453545,185.706375
30,190.231628,41.041870,211.580093,128.058517,188.097427
31,191.451004,41.565788,209.972839,128.850327,193.461594
32,193.852676,43.271633,216.453629,130.376160,204.490509
33,192.433121,42.908554,228.215942,129.442795,200.759628
34,193.780807,43.797588,237.827866,130.299805,203.626251
35,193.117325,43.832214,240.011871,129.878189,201.156326
36,189.887939,43.755829,235.310699,127.654594,199.496460
37,187.872375,43.488331,246.371735,126.270714,197.333725
38,185.280319,43.494877,247.293289,124.467705,194.007736
39,184.297012,43.327240,254.529327,123.805382,192.457520
40,182.397644,43.125565,258.188171,122.538269,191.056213
41,183.382965,43.397667,272.151520,123.240211,191.173325
42,184.657867,43.725971,268.106079,124.089409,191.454224
43,188.115723,43.564423,273.457489,126.462868,193.540848
44,195.027237,45.305210,286.750305,131.105286,200.297165
45,200.807938,48.149628,307.722076,134.895142,208.218018
46,212.145142,50.046043,322.748627,142.654709,220.316589
47,223.683655,52.048721,332.250122,150.554642,235.481598
48,239.193298,55.751095,347.355347,161.082932,254.400726
49,255.271545,58.632790,368.424500,172.001587,270.918091
50,280.631622,66.324570,413.672241,189.140793,307.264160
51,298.230347,70.156662,432.256805,201.051437,318.575684
52,341.820068,74.274414,487.337311,230.605362,345.393921
53,375.990845,84.458633,529.019287,253.520142,383.817963
54,409.521362,92.976395,579.316833,276.302887,406.521240
55,443.357666,97.892014,629.385986,299.284027,436.540222
56,492.318848,107.447632,691.353943,332.156250,474.217499
57,576.560791,110.238159,766.838562,389.157928,527.980652
58,630.581726,115.236427,828.040710,425.885651,562.778381
59,715.792175,117.305084,887.448303,483.593994,623.315552
60,859.883850,122.340775,997.914490,580.688538,728.978149
61,1021.485901,131.366150,1101.403809,689.772949,856.451477
62,1240.547607,136.953751,1317.130493,838.120422,984.460083
63,1574.299316,169.008682,1879.325928,1065.291992,1236.193604
64,217.670547,48.369583,114.385582,146.813126,222.151993
