prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,The capital of France is, Paris,12095,0.640625, Paris| known| __| one| a,0.640625|0.059814|0.056152|0.021973|0.021973,5,The| capital| of| France| is,785|6722|315|9625|374,23802.66
1,Die Hauptstadt von Frankreich ist, Paris,12095,0.734375, Paris| ______| __| Berlin| ____,0.734375|0.030396|0.026733|0.022217|0.020874,7,Die| Haupt|stadt| von| Frank|reich| ist,18175|89931|44278|6538|9270|40334|5999,22426.71
2,La capitale de la France est, Paris,12095,0.757812, Paris| __| ______| situ| ____,0.757812|0.029419|0.016724|0.015747|0.010193,7,La| capit|ale| de| la| France| est,8747|60410|1574|409|1187|9625|1788,22914.17
3,La capital de Francia es, Par,4270,0.519531, Par| Paris| __| ______| ____,0.519531|0.074707|0.042480|0.031128|0.025757,6,La| capital| de| Franc|ia| es,8747|6722|409|9694|685|1531,23023.18
4,La capitale della Francia è, Par,4270,0.675781," Par| Paris| __|?
|____",0.675781|0.049072|0.027954|0.016968|0.013184,7,La| capit|ale| della| Franc|ia| è,8747|60410|1574|15230|9694|685|11422,21742.71
5,A capital da França é, Paris,12095,0.824219, Paris| uma| __| um| a,0.824219|0.028198|0.017090|0.009155|0.006714,6,A| capital| da| Fran|ça| é,32|6722|2994|30825|17472|3958,21055.72
6,Столица Франции —, П,22419,0.589844, П| это| Paris| один| стол,0.589844|0.230469|0.042725|0.017822|0.007874,8,Ст|ол|и|ца| Ф|ран|ции| —,73498|7819|1802|86894|66791|34582|56086|1959,21314.64
7,フランスの首都は,パ,79705,0.201172,パ|？|どこ|____|、,0.201172|0.107422|0.101074|0.088867|0.053955,4,フランス|の|首都|は,140932|15767|106114|15322,20781.36
8,法国的首都是,哪里,101314,0.250000,哪里|巴黎|哪个|____|什么,0.250000|0.220703|0.195312|0.104492|0.041016,4,法国|的|首|都是,104328|9370|59975|100132,21208.22
9,프랑스의 수도는, �,5140,0.250000, �| 파| 어디|哪里| 무엇,0.250000|0.125977|0.118164|0.104492|0.046387,6,프|랑|스|의| 수도|는,126445|133738|24897|20401|134013|16560,20395.77
10,De hoofdstad van Frankrijk is, P,393,0.761719, P| Paris| __| ook|...,0.761719|0.045654|0.019043|0.015747|0.010193,8,De| hoof|dst|ad| van| Frank|rijk| is,1912|84730|15658|329|5242|9270|86674|374,21657.02
11,Frankrikes huvudstad är, en,662,0.076172," en| Frank| New| Wien|?
",0.076172|0.052246|0.020508|0.016968|0.015991,7,Frank|rikes| h|uv|ud|stad| är,37326|67631|305|12058|661|46840|18593,21674.62
