layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,2.085815,0.724368,0.828746,1.458191,1.594586
1,61.002922,13.427566,41.053936,40.935627,48.937107
2,62.710484,13.322263,49.364323,42.078518,50.288670
3,70.776794,13.747701,52.857265,47.508427,55.087425
4,83.678200,15.796701,57.806492,56.058167,63.205547
5,99.654129,19.084326,64.067383,66.346642,84.827919
6,116.094139,23.865770,72.371269,77.058289,102.052391
7,123.013687,23.991346,75.801277,81.581024,107.775673
8,132.616119,25.125040,79.915688,87.870338,111.932632
9,139.279160,26.991819,83.554451,92.221481,122.063896
10,151.002487,28.959673,94.175049,100.094551,125.647575
11,163.617111,31.733887,109.694550,108.448654,134.178894
12,178.748886,33.797333,115.446373,118.458206,147.792130
13,190.996307,34.181698,113.946960,126.582695,157.062302
14,203.432907,36.277077,114.648651,134.778412,167.524292
15,210.122711,36.793304,114.105560,139.223328,175.684326
16,217.907440,36.073544,114.629715,144.528381,176.507706
17,225.925369,35.093517,114.630173,149.852417,183.002686
18,230.496506,35.731430,114.860733,152.886154,187.393539
19,234.706451,36.190006,117.188309,155.686218,191.628204
20,238.903152,36.403896,119.182213,158.483734,193.592926
21,243.097244,36.806389,122.924660,161.300003,197.803879
22,245.070953,36.676590,126.475716,162.639130,197.820969
23,247.899368,36.950417,128.764389,164.523438,200.055832
24,248.592743,37.205807,131.050201,164.975967,201.483673
25,251.656204,38.026638,132.236694,167.047089,205.934204
26,256.459045,38.702839,133.850311,170.228607,210.332993
27,259.058655,38.441982,135.046814,172.002518,211.295959
28,265.808289,38.307529,139.090927,176.494522,214.856552
29,269.681976,39.324329,143.456390,179.068665,218.422562
30,273.336365,40.478123,145.670288,181.410797,223.467926
31,276.445343,41.933968,148.918137,183.432663,225.930496
32,282.640717,43.480709,154.451019,187.654358,229.591583
33,283.025452,43.232658,162.339645,187.955139,232.444702
34,284.785095,43.789948,167.836304,189.019043,236.493515
35,285.682648,43.957729,171.314377,189.595459,236.428177
36,284.577850,43.740292,173.469162,188.843018,235.030075
37,281.530029,42.749371,176.182663,186.824310,231.134628
38,279.042572,41.847343,180.530792,185.251831,226.200897
39,279.656219,41.692085,187.235687,185.730835,223.757507
40,275.963593,42.008595,196.961716,183.396637,221.278046
41,277.433624,42.217686,216.821121,184.474442,220.903809
42,279.849152,43.063801,210.615952,186.119751,223.665497
43,282.957184,43.466572,212.784241,188.339066,223.065765
44,294.100403,45.275646,226.634766,195.760651,231.606644
45,306.905029,47.385635,264.086212,204.451157,237.687805
46,322.637299,52.215805,272.741913,214.830582,255.661163
47,344.609192,57.406410,295.635559,229.442291,279.691010
48,376.643402,62.890778,326.995422,250.809631,302.243225
49,411.836029,68.560219,343.519897,274.319153,325.410309
50,459.346191,77.439346,384.387909,306.120361,362.039124
51,502.412170,84.433678,408.841736,334.972717,390.194305
52,561.676086,96.053810,461.072296,374.654724,434.640106
53,614.862610,104.692719,520.818359,410.243103,469.753845
54,673.870911,115.395996,576.668579,449.595032,526.990479
55,727.946472,125.773666,623.876648,485.699280,565.757690
56,789.710449,136.992294,695.494141,527.107300,611.828735
57,851.383484,146.205627,789.255493,568.307190,647.224365
58,908.827209,156.861786,865.998657,606.460571,690.833862
59,965.724060,166.116943,949.839600,644.381287,729.092651
60,1031.088135,177.648911,1065.654175,687.709595,760.761902
61,1098.022705,189.180405,1171.028564,732.405945,816.528809
62,1200.933350,206.805481,1416.895508,801.350220,887.985840
63,1450.809570,255.810776,2068.401367,970.035889,1098.453125
64,172.915451,41.166000,149.590317,116.350861,138.478683
