prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,2 + 2 =, ,0.318359,14,35.04,4.3488,3.4704,1.2187,101.2150,54.9442,120.0041,0.832393,0.908337,1970.3995
1,1 + 3 =, ,0.279297,14,33.29,3.8591,3.2831,1.2138,99.7864,55.1627,121.2878,0.833403,0.908110,1950.5579
2,8 - 4 =, ,0.238281,14,33.44,4.6936,3.5359,1.2144,102.5889,55.3211,121.3395,0.833078,0.908212,2034.0593
3,8 / 2 =, ,0.496094,14,33.45,4.2948,3.1146,1.2090,99.4783,55.3252,121.0413,0.832506,0.909477,2010.6431
4,2 * 2 =, ,0.488281,14,33.26,4.4018,3.2039,1.2259,102.0778,55.2512,120.6055,0.833280,0.909111,1992.2258
5,The result of adding 2 and 2 is, \,0.343750,19,33.92,3.9515,3.9080,1.2170,105.0962,48.0555,114.3766,0.833288,0.910375,1859.6891
6,If you add one and three you get, four,0.929688,17,33.62,3.8847,0.7067,1.1699,103.6486,50.6663,118.9756,0.836364,0.908440,2035.7595
7,Two plus two equals, what,0.275391,13,33.34,4.6827,3.9411,1.1938,101.6675,57.7165,123.4570,0.836370,0.909953,1978.8232
8,Four minus zero is, equal,0.337891,13,33.25,4.9527,4.7497,1.2000,104.6572,57.4945,121.2569,0.835903,0.911566,1902.2738
9,The square root of sixteen is, four,0.250000,15,33.50,4.5762,5.1707,1.2023,105.9853,53.1945,116.8986,0.837468,0.912958,1864.8132
