layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.604432,0.562293,0.577959,1.116435,1.395358
1,38.996490,7.847235,19.482513,26.220749,29.096617
2,43.876842,7.279917,26.281137,29.353878,31.855770
3,59.800842,11.810781,31.768675,39.978554,48.246449
4,72.285545,13.107673,35.920551,48.175026,57.548374
5,80.892433,13.558365,39.578934,53.731461,63.870220
6,79.198341,13.509330,38.777302,52.553726,65.665558
7,82.935730,13.960988,40.476757,55.145424,68.054695
8,87.851433,14.034291,42.081905,58.413193,68.758904
9,92.903526,14.379506,46.357372,61.708450,73.343620
10,97.401436,14.035455,50.675175,64.723175,76.342941
11,100.313225,13.594189,53.748295,66.685463,74.887947
12,102.785904,13.943481,57.144569,68.289322,77.504883
13,106.075127,14.737926,60.936111,70.485771,79.564522
14,113.486794,14.161095,68.629326,75.379303,82.901909
15,112.733658,14.421911,71.707924,74.886421,83.632187
16,115.927711,14.378380,76.595238,76.965485,85.567841
17,118.476173,14.484442,79.874512,78.712814,86.490158
18,123.581299,15.250531,84.053726,82.134552,89.936890
19,134.387482,15.757765,95.987221,89.329918,95.925896
20,157.917114,22.139290,112.913956,105.081833,117.038452
21,177.840897,23.841619,124.582970,118.390251,131.147507
22,213.160034,28.387936,172.770325,141.824951,160.065506
23,250.650803,33.793926,190.665817,166.660339,191.528305
24,283.313904,39.751343,229.911896,188.373901,208.586639
25,336.619690,51.986080,297.372620,223.764160,258.427246
26,376.881012,59.159229,345.517151,250.511414,292.492218
27,436.135986,68.705605,437.729004,290.084259,334.631104
28,104.391968,19.238258,79.172241,69.752823,87.815948
