layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,0.000000,0.000000,1.021213,0.000000,0.000000
1,13.818313,4.736492,32.431583,9.290377,16.223524
2,19.251013,5.179152,38.871227,12.896079,20.008316
3,22.233049,4.638953,42.123524,14.788595,21.340595
4,32.771393,6.770788,48.959621,21.860416,29.568859
5,46.653828,6.951600,50.131660,30.909601,40.941845
6,45.937328,6.781379,50.416740,30.397800,40.412270
7,48.595379,7.150985,56.464069,32.139717,42.479897
8,54.266804,7.650131,59.750843,35.870049,47.897396
9,54.085022,7.117518,60.027287,35.747154,47.350998
10,59.882805,6.702001,66.512657,39.570381,49.771469
11,60.092495,6.169573,72.346382,39.722504,47.680092
12,62.193699,6.797579,77.121384,41.077965,50.761204
13,60.666569,6.115391,79.368225,40.093033,49.191250
14,67.791550,6.425564,90.701157,44.824844,54.205719
15,66.049782,6.477000,92.258476,43.651505,52.735954
16,66.318466,6.454347,99.704170,43.843967,53.413002
17,65.538506,6.370070,100.261055,43.341564,52.247314
18,65.852737,6.537118,102.451576,43.557957,52.916298
19,72.221878,7.504720,112.853256,47.779068,57.605556
20,81.595757,10.932969,136.956390,53.991459,70.387192
21,100.424232,11.113135,152.903076,66.485077,80.863884
22,127.182579,12.668102,197.892624,84.073837,99.630814
23,168.421097,20.270769,219.724503,111.440781,140.079895
24,208.269501,23.150202,255.790390,137.569443,174.736420
25,268.464081,36.013893,313.895721,177.431122,236.882523
26,310.001373,43.508831,366.375153,204.730133,280.892670
27,349.089935,48.815289,455.257874,230.489288,317.991852
28,85.664406,7.692402,83.372726,56.680115,63.646305
