prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,The capital of Japan is, Tokyo,26194,0.118164, Tokyo| in| located| the| known,0.118164|0.098145|0.091797|0.091797|0.081055,14,"Important|:| only| reply| with| a| single| token|.
|The| capital| of| Japan| is",52280|25|1172|9851|448|264|3175|3950|624|785|6722|315|6323|374,33.74
1,Die Hauptstadt von Japan ist, so,773,0.030029, so| ein| mit| als| called,0.030029|0.021240|0.017578|0.015991|0.015564,15,"Important|:| only| reply| with| a| single| token|.
|Die| Haupt|stadt| von| Japan| ist",52280|25|1172|9851|448|264|3175|3950|624|18175|89931|44278|6538|6323|5999,33.34
2,La capitale du Japon est, __,1304,0.083984, __| le|:|...| un,0.083984|0.069336|0.051025|0.047852|0.047852,16,"Important|:| only| reply| with| a| single| token|.
|La| capit|ale| du| J|apon| est",52280|25|1172|9851|448|264|3175|3950|624|8747|60410|1574|3845|619|10736|1788,33.42
3,La capital de Japón es, ,220,0.192383, | J| la| el| un,0.192383|0.109863|0.070801|0.048828|0.035645,16,"Important|:| only| reply| with| a| single| token|.
|La| capital| de| J|ap|ón| es",52280|25|1172|9851|448|264|3175|3950|624|8747|6722|409|619|391|3165|1531,33.27
4,La capitale del Giappone è,...,1112,0.092773,"...| __| ______|...
|?

",0.092773|0.077148|0.067871|0.063965|0.060059,17,"Important|:| only| reply| with| a| single| token|.
|La| capit|ale| del| Gi|app|one| è",52280|25|1172|9851|448|264|3175|3950|624|8747|60410|1574|1594|15392|676|603|11422,33.45
5,A capital do Japão é, um,4443,0.073730, um| importante| difícil| uma| d,0.073730|0.064941|0.037109|0.027954|0.018677,16,"Important|:| only| reply| with| a| single| token|.
|A| capital| do| J|ap|ão| é",52280|25|1172|9851|448|264|3175|3950|624|32|6722|653|619|391|3413|3958,33.59
6,Столица Японии —, what,1128,0.106934," what| —| how|
| ",0.106934|0.057129|0.057129|0.050537|0.044678,17,"Important|:| only| reply| with| a| single| token|.
|Ст|ол|и|ца| Я|пон|ии| —",52280|25|1172|9851|448|264|3175|3950|624|73498|7819|1802|86894|128557|127461|46173|1959,33.50
7,日本の首都は,何处,114216,0.179688,"何处|
|哪里|？
|?
",0.179688|0.084961|0.045410|0.037598|0.029297,12,"Important|:| only| reply| with| a| single| token|.
|日本の|首都|は",52280|25|1172|9851|448|264|3175|3950|624|131888|106114|15322,33.40
8,日本的首都是,哪个,104673,0.294922,哪个|东京|哪|怎么|什么,0.294922|0.147461|0.061523|0.032959|0.031006,13,"Important|:| only| reply| with| a| single| token|.
|日本|的|首|都是",52280|25|1172|9851|448|264|3175|3950|624|101059|9370|59975|100132,33.19
9,일본의 수도는, ,220,0.121094," |
|?
| �| ______",0.121094|0.057129|0.039307|0.023804|0.016357,14,"Important|:| only| reply| with| a| single| token|.
|일|본|의| 수도|는",52280|25|1172|9851|448|264|3175|3950|624|32077|125822|20401|134013|16560,33.24
