layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.375990,0.147746,0.443779,0.920356,1.073693
1,39.483372,3.901046,18.873774,26.454855,32.879948
2,46.894348,4.577278,25.341267,31.417313,36.398769
3,56.812363,7.495442,31.012041,38.045174,47.531147
4,65.442253,8.052322,36.725941,43.812363,53.989857
5,70.710945,8.452387,41.429073,47.341438,59.445797
6,67.909302,8.598722,39.456657,45.422459,58.269337
7,70.010338,10.202844,41.581787,46.819576,64.063583
8,70.940948,12.641371,43.726048,47.357784,68.303261
9,75.815659,11.127254,48.568523,50.717506,67.616867
10,80.588638,11.996423,56.442047,53.900810,73.881691
11,84.565674,12.616652,61.734512,56.547386,77.699341
12,85.668243,12.787374,65.653633,57.280468,78.861450
13,87.001434,12.664509,69.120071,58.179626,79.018646
14,92.892471,13.795454,78.793457,62.106209,82.861656
15,93.183441,13.592952,82.439484,62.310535,82.647720
16,94.143738,13.912082,87.311890,62.948597,83.339035
17,97.545532,13.900069,90.221397,65.282967,83.517288
18,103.224487,14.682143,96.017014,69.149345,86.320656
19,110.332413,16.734470,109.978355,73.874512,92.810089
20,122.404419,19.146244,115.282028,81.893845,103.141190
21,137.871155,20.874296,127.130615,92.335037,115.902573
22,168.910324,23.801102,175.392075,113.418007,137.638016
23,205.457169,28.630972,194.390228,138.015701,171.962204
24,252.904907,35.922749,231.244675,169.954681,203.371780
25,317.606903,40.709435,305.277252,213.435181,253.699921
26,382.999054,52.494781,336.488281,257.092255,337.976013
27,470.808990,71.339417,425.118195,315.541504,456.151978
28,120.287392,15.700544,53.922482,80.764061,94.530182
