layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,2.178052,0.105984,0.678967,1.460445,1.590036
1,61.203613,7.850299,41.562889,40.886223,50.192532
2,62.974934,8.255198,50.789452,42.085449,51.942131
3,69.991920,10.927881,54.809208,46.754189,61.934116
4,81.358070,15.350685,60.471821,54.255470,82.518768
5,98.407898,23.540632,67.589622,65.445236,112.730492
6,108.497528,27.189295,76.218681,72.153259,127.667480
7,117.656639,29.433184,81.726044,78.182007,133.534500
8,121.025795,29.297991,85.645142,80.471916,135.834091
9,127.427010,32.099281,92.481628,84.653954,147.711990
10,135.651810,31.738995,108.642036,90.292046,150.545135
11,143.628387,32.395008,119.631477,95.663368,151.548416
12,151.493301,32.371479,126.284645,101.036079,151.203644
13,160.712753,31.118776,132.689285,107.369102,150.860687
14,163.733566,31.363924,135.903442,109.415512,157.438934
15,165.648895,32.077446,139.819763,110.688576,163.089188
16,167.921143,32.457504,154.483383,112.275803,166.873077
17,168.776779,33.182156,165.510849,112.872787,170.199814
18,170.107025,32.643181,167.119339,113.774597,170.388382
19,169.786346,32.404530,165.386429,113.553543,168.339401
20,171.708282,33.542603,169.142288,114.780655,172.721878
21,174.819199,33.687862,177.372513,116.857582,174.077438
22,175.651260,33.880157,181.359238,117.392494,174.169113
23,176.957108,34.244812,186.551743,118.225098,175.589386
24,173.152893,33.772705,183.227005,115.683029,172.253433
25,172.791901,34.015583,187.030167,115.435669,172.240417
26,174.331238,34.467083,192.617722,116.439026,173.715988
27,177.269928,34.382404,200.630264,118.434471,175.086151
28,180.897934,36.493465,205.551361,120.794228,181.171432
29,183.279907,37.224483,212.385727,122.347130,184.261978
30,185.948486,37.357891,216.939453,124.164490,186.340775
31,187.647354,37.678429,215.670029,125.296799,189.247543
32,190.836243,41.017567,221.665222,127.235611,199.017242
33,188.209457,40.231339,232.046921,125.497841,193.847290
34,190.450439,42.207405,240.386642,126.937790,196.185898
35,190.478317,43.901684,240.678162,126.915993,194.462173
36,188.912918,45.886326,236.490356,125.747765,192.161987
37,187.658966,46.502892,247.639252,124.890015,193.299316
38,185.712891,47.432377,248.513901,123.524368,195.683517
39,184.192947,47.313770,255.235275,122.506882,194.320618
40,182.041000,46.562576,257.739624,121.124001,190.506195
41,183.299820,47.124424,272.060303,122.003860,191.549118
42,184.229553,47.484318,267.938354,122.659042,192.947525
43,187.926651,47.495571,274.933807,125.191269,195.363220
44,194.249496,49.188377,287.698883,129.467911,198.595139
45,199.815414,51.732391,308.259644,133.072601,206.389694
46,210.557816,54.767864,324.028229,140.288162,215.483582
47,222.782806,56.492504,335.165436,148.540802,228.703796
48,239.245163,59.351685,350.905365,159.566589,245.911224
49,254.960281,62.677799,372.747833,170.148056,262.350464
50,280.308929,71.058838,416.143799,187.041946,296.639221
51,299.713684,74.695679,436.148438,200.140472,309.398468
52,343.605499,77.742645,490.353119,229.561432,335.608887
53,379.425140,86.740242,535.822144,253.549118,371.015259
54,414.980499,94.514130,591.466064,277.638855,392.583313
55,450.261200,100.541092,644.998230,301.264465,424.835510
56,499.074707,108.949768,712.653076,333.929749,454.991547
57,571.099182,113.529366,800.988892,382.115143,503.893616
58,624.627502,117.291328,869.467957,418.209869,538.302795
59,703.225220,121.484886,949.026001,470.990479,585.167725
60,843.903625,126.330116,1043.220459,564.852417,721.851746
61,1001.436218,132.990631,1160.965576,670.484924,799.277100
62,1238.017212,140.832306,1393.115967,829.199219,939.490723
63,1596.295288,177.078278,1925.662720,1071.522095,1193.499390
64,221.640839,49.201115,111.397446,148.588196,210.904266
