prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,The capital of Japan is, Tokyo,26194,0.527344, Tokyo| __| ____| known| a,0.527344|0.062988|0.038330|0.031738|0.027954,5,The| capital| of| Japan| is,785|6722|315|6323|374,19802.22
1,Die Hauptstadt von Japan ist, Tok,21447,0.355469, Tok| Tokyo| ______|____| __,0.355469|0.167969|0.045166|0.040039|0.040039,6,Die| Haupt|stadt| von| Japan| ist,18175|89931|44278|6538|6323|5999,19551.96
2,La capitale du Japon est, Tokyo,26194,0.601562, Tokyo| __| bien| une| à,0.601562|0.033936|0.028076|0.021851|0.021851,7,La| capit|ale| du| J|apon| est,8747|60410|1574|3845|619|10736|1788,22750.76
3,La capital de Japón es, Tok,21447,0.664062, Tok| Tokyo| __| Kyoto| ____,0.664062|0.031006|0.024170|0.018799|0.017700,7,La| capital| de| J|ap|ón| es,8747|6722|409|619|391|3165|1531,22411.69
4,La capitale del Giappone è, Tokyo,26194,0.664062, Tokyo| __| Tok|____| Kyoto,0.664062|0.037598|0.024170|0.022705|0.013794,8,La| capit|ale| del| Gi|app|one| è,8747|60410|1574|1594|15392|676|603|11422,23684.17
5,A capital do Japão é, T,350,0.585938, T| Tokyo| __|:| Kyoto,0.585938|0.045410|0.037598|0.018921|0.017700,7,A| capital| do| J|ap|ão| é,32|6722|653|619|391|3413|3958,22788.77
6,Столица Японии —, Т,50318,0.503906, Т| это| Tokyo|东京| один,0.503906|0.197266|0.063965|0.060059|0.008118,8,Ст|ол|и|ца| Я|пон|ии| —,73498|7819|1802|86894|128557|127461|46173|1959,23010.68
7,日本の首都は,東,102356,0.353516,東|どこ|____|、|？,0.353516|0.137695|0.078613|0.065430|0.044922,3,日本の|首都|は,131888|106114|15322,22998.09
8,日本的首都是,哪里,101314,0.355469,哪里|哪个|____|东京|哪,0.355469|0.215820|0.122559|0.065918|0.051270,4,日本|的|首|都是,101059|9370|59975|100132,23412.25
9,일본의 수도는,哪里,101314,0.243164,哪里| 어디| 서울|?| 도,0.243164|0.243164|0.138672|0.079102|0.061523,5,일|본|의| 수도|는,32077|125822|20401|134013|16560,23370.01
