layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.346949,0.226528,0.435158,0.917136,1.093431
1,40.909542,5.040916,19.331907,27.638550,33.064316
2,49.392448,6.544740,25.908501,33.311234,42.975010
3,59.513126,8.526161,31.135935,40.134422,57.306309
4,68.091873,9.852398,35.931061,45.901150,66.392479
5,73.378586,10.765354,40.329006,49.452972,72.599350
6,70.160393,10.822428,38.983471,47.262592,70.407593
7,71.594872,12.645701,40.269947,48.204590,75.052406
8,73.789597,13.922360,42.538322,49.623272,75.642700
9,80.868599,13.152841,48.495518,54.505749,79.173973
10,86.337929,12.596347,54.521629,58.252888,83.586761
11,90.511200,12.483014,60.589996,61.089031,85.726089
12,90.275864,12.258782,60.810150,60.938999,84.732262
13,90.802879,13.075431,63.553028,61.262875,86.231293
14,96.930687,13.968403,72.871834,65.379517,91.883995
15,96.205292,14.481422,76.053986,64.854973,93.828354
16,98.934044,15.805807,80.713264,66.640785,98.916916
17,102.567924,16.678818,82.125023,69.093613,98.221062
18,108.287125,17.933208,86.810822,72.959328,102.996025
19,115.256424,19.113323,98.242149,77.665169,108.122360
20,129.623642,19.149994,102.505150,87.381523,113.787926
21,147.056747,19.723063,114.724541,99.275185,135.687332
22,182.454651,25.418339,160.469238,123.337440,163.658234
23,219.566208,29.997999,175.248856,148.406845,202.234833
24,264.058136,34.729446,210.788437,178.480423,226.577606
25,321.242340,38.046604,274.373505,217.317368,274.471283
26,393.011780,43.823265,311.364410,265.737579,319.501251
27,481.042023,42.301880,410.750458,325.627594,362.900177
28,126.252533,15.710096,53.662739,85.523949,108.274948
