prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,The capital of Germany is, ,220,0.644531, | €| represented| known| a,0.644531|0.060059|0.056396|0.049805|0.028320,5,The| capital| of| Germany| is,785|6722|315|9856|374,902.53
1,Die Hauptstadt von Deutschland ist, ein,4368,0.111816, ein| eine| die| der| mit,0.111816|0.104980|0.072266|0.063965|0.045166,6,Die| Haupt|stadt| von| Deutschland| ist,18175|89931|44278|6538|44979|5999,47.22
2,La capitale de l'Allemagne est, le,512,0.140625," le| l| :| la| """,0.140625|0.124512|0.097168|0.097168|0.085449,10,La| capit|ale| de| l|'|Al|lem|agne| est,8747|60410|1574|409|326|6|2101|3433|23870|1788,52.88
3,La capital de Alemania es, ,220,0.437500," | la| el| ""| Z",0.437500|0.046143|0.046143|0.027100|0.020508,6,La| capital| de| Ale|mania| es,8747|6722|409|19081|51568|1531,34.34
4,La capitale della Germania è, ,220,0.484375, | $| G| C| B,0.484375|0.079102|0.054199|0.020020|0.014587,7,La| capit|ale| della| German|ia| è,8747|60410|1574|15230|5938|685|11422,33.66
5,A capital da Alemanha é, ,220,0.168945, | um| de| a| C,0.168945|0.084961|0.048340|0.024414|0.020142,7,A| capital| da| Ale|man|ha| é,32|6722|2994|19081|1515|4223|3958,33.26
6,Столица Германии —, Г,60465,0.300781, Г| это| Н| Ф| К,0.300781|0.133789|0.029785|0.019165|0.016968,9,Ст|ол|и|ца| Г|ер|м|ании| —,73498|7819|1802|86894|60465|7599|6442|134348|1959,33.53
7,ドイツの首都は,$,3,0.326172,$|、|$\|1|How,0.326172|0.063965|0.046875|0.032227|0.022827,4,ドイツ|の|首都|は,142765|15767|106114|15322,175.73
8,德国的首都是,哪里,101314,0.079102,哪里|北京|巴|(|哥,0.079102|0.069824|0.054199|0.028198|0.026489,4,德国|的|首|都是,104114|9370|59975|100132,32.72
9,독일의 수도는, ,220,0.150391," |,|?
| $\| �",0.150391|0.038086|0.027832|0.024536|0.023071,5,독|일|의| 수도|는,129502|32077|20401|134013|16560,32.84
10,Hoofdstad van Duitsland is, a,264,0.287109, a| constructed| represented| | built,0.287109|0.072754|0.056641|0.038818|0.036621,9,Ho|of|dst|ad| van| D|uits|land| is,47978|1055|15658|329|5242|422|11797|1933|374,33.23
11,Tysklands huvudstad är, ,220,0.781250," | en| $|:

| $\",0.781250|0.050049|0.017334|0.010803|0.009521,9,T|ys|k|lands| h|uv|ud|stad| är,51|1047|74|8166|305|12058|661|46840|18593,33.16
