layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,0.000000,0.000000,1.059082,0.000000,0.000000
1,11.061885,1.957860,28.406267,7.434935,11.233006
2,13.023589,1.670850,35.242653,8.783731,12.064339
3,14.214032,1.795287,39.260754,9.591990,12.691167
4,16.217215,2.669055,45.652431,10.927761,16.740364
5,19.051670,2.948228,53.642635,12.840939,19.110773
6,17.752632,2.642286,50.335358,11.965186,17.905609
7,19.625772,2.642894,56.552704,13.240680,19.345978
8,20.783268,2.126377,56.301323,14.046021,18.227419
9,25.072685,2.214840,67.461456,16.973333,21.046230
10,29.619549,2.368491,76.623055,20.056696,23.050913
11,30.154821,2.379371,76.390457,20.420004,23.664553
12,31.669418,2.794578,81.581062,21.433393,24.074371
13,32.110153,2.813651,84.112511,21.726568,24.815481
14,36.391136,3.525848,90.532402,24.602165,28.852217
15,35.743938,4.241044,97.297302,24.139097,31.204247
16,35.675720,4.292068,100.622284,24.089487,30.335449
17,37.095634,4.690379,104.591049,25.045065,31.652395
18,40.217621,5.399222,111.767403,27.146280,34.216923
19,42.779125,5.932545,129.241837,28.878119,35.985939
20,43.913021,6.206059,139.895584,29.647224,37.454082
21,49.873524,7.643450,155.252548,33.650879,41.786972
22,66.545151,8.858234,207.673370,44.958141,53.824108
23,131.446686,13.227503,229.184860,88.809822,110.318909
24,170.561234,13.977932,261.577728,115.462807,127.910942
25,205.091675,18.152712,321.978699,138.708130,167.272430
26,257.852753,22.529606,352.236511,174.388321,200.820206
27,302.109863,26.059460,445.205750,204.484558,235.241135
28,73.228851,6.760480,86.407944,49.585556,56.466309
