prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,2 + 2 =, ,220,0.941406," | ?

| ...| (| ?",0.941406|0.010437|0.004944|0.004364|0.003387,5,2| +| |2| =,17|488|220|17|284,34.02
1,1 + 3 =, ,220,0.960938," |5| ...| ?

| total",0.960938|0.005707|0.004456|0.003937|0.001854,5,1| +| |3| =,16|488|220|18|284,32.57
2,8 - 4 =, ,220,0.894531," | ?

| ?
|4| ?",0.894531|0.039307|0.009338|0.007721|0.006012,5,8| -| |4| =,23|481|220|19|284,33.38
3,8 / 2 =, ,220,0.917969," | $| ?

| -|1",0.917969|0.021606|0.006195|0.005463|0.005127,5,8| /| |2| =,23|608|220|17|284,32.68
4,2 * 2 =, ,220,0.960938," |4| ?

| ...| ?",0.960938|0.017578|0.003479|0.001747|0.001060,5,2| *| |2| =,17|353|220|17|284,32.60
5,The result of adding 2 and 2 is, ,220,0.359375, | \| $\| ______|...,0.359375|0.248047|0.080566|0.062500|0.038086,10,The| result| of| adding| |2| and| |2| is,785|1102|315|7842|220|17|323|220|17|374,33.86
6,If you add one and three you get, four,3040,0.589844, four|...| one| what| a,0.589844|0.080078|0.062256|0.033203|0.033203,8,If| you| add| one| and| three| you| get,2679|498|912|825|323|2326|498|633,33.86
7,Two plus two equals, four,3040,0.433594," four|...| what|?

|?",0.433594|0.205078|0.160156|0.027710|0.019043,4,Two| plus| two| equals,11613|5519|1378|16819,32.94
8,Four minus zero is,...,1112,0.081543,...| zero| equal| not| ,0.081543|0.081543|0.072266|0.063477|0.043701,4,Four| minus| zero| is,26972|27283|7168|374,32.91
9,The square root of sixteen is, four,3040,0.859375, four| equal| | the| a,0.859375|0.040039|0.020142|0.007416|0.006989,6,The| square| root| of| sixteen| is,785|9334|3704|315|58039|374,33.18
