prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,2 + 2 =, ,0.941406,5,34.02,4.7432,0.7137,1.2317,97.0043,103.1595,181.2405,0.844356,0.917292,1997.1722
1,1 + 3 =, ,0.960938,5,32.57,4.2601,0.4663,1.2178,95.0837,80.7611,160.8324,0.840698,0.913150,2072.6951
2,8 - 4 =, ,0.894531,5,33.38,4.7190,1.0250,1.2195,92.8427,79.7248,163.7341,0.845389,0.916721,2066.8555
3,8 / 2 =, ,0.917969,5,32.68,4.8958,0.8820,1.2045,94.8190,94.0623,172.4082,0.856316,0.918226,2086.3704
4,2 * 2 =, ,0.960938,5,32.60,3.6646,0.4062,1.2518,89.4008,51.0984,144.7317,0.851208,0.903838,2067.3628
5,The result of adding 2 and 2 is, ,0.359375,10,33.86,3.9185,3.5403,1.2220,107.9801,63.4954,127.1150,0.836392,0.905394,1869.1331
6,If you add one and three you get, four,0.589844,8,33.86,3.3441,2.8529,1.1232,108.2553,74.9313,145.9351,0.843599,0.907449,2021.5222
7,Two plus two equals, four,0.433594,4,32.94,4.6523,3.0391,1.1540,106.2270,106.5214,171.4638,0.850983,0.913677,2117.8560
8,Four minus zero is,...,0.081543,4,32.91,6.6304,6.4117,1.1742,113.0952,110.4888,172.4991,0.845760,0.917617,1924.2787
9,The square root of sixteen is, four,0.859375,6,33.18,3.7837,1.2887,1.1884,100.5984,84.8806,145.4722,0.853864,0.912885,1965.9338
