prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,The capital of France is, Paris,12095,0.191406, Paris| a| | represented| the,0.191406|0.079590|0.079590|0.074707|0.074707,5,The| capital| of| France| is,785|6722|315|9625|374,35.42
1,Die Hauptstadt von Frankreich ist, ein,4368,0.235352, ein| eine| mit|这么大| der,0.235352|0.133789|0.076172|0.015991|0.010986,7,Die| Haupt|stadt| von| Frank|reich| ist,18175|89931|44278|6538|9270|40334|5999,33.54
2,La capitale de la France est, ,220,0.253906, | un| la| en| le,0.253906|0.099609|0.047119|0.039062|0.028564,7,La| capit|ale| de| la| France| est,8747|60410|1574|409|1187|9625|1788,33.29
3,La capital de Francia es, ,220,0.227539, | la| el| ______| Franc,0.227539|0.076172|0.057617|0.037109|0.035889,6,La| capital| de| Franc|ia| es,8747|6722|409|9694|685|1531,34.52
4,La capitale della Francia è, ,220,0.441406, | F| la| il| $,0.441406|0.059570|0.038574|0.038574|0.019409,7,La| capit|ale| della| Franc|ia| è,8747|60410|1574|15230|9694|685|11422,35.10
5,A capital da França é, ,220,0.373047," | um| a| ""| o",0.373047|0.121094|0.030640|0.026978|0.011597,6,A| capital| da| Fran|ça| é,32|6722|2994|30825|17472|3958,33.47
6,Столица Франции —, это,67879,0.041992, это| на| Г| В| Д,0.041992|0.037109|0.032715|0.030762|0.027222,8,Ст|ол|и|ца| Ф|ран|ции| —,73498|7819|1802|86894|66791|34582|56086|1959,33.85
7,フランスの首都は,、,5373,0.176758,、|$|何处|$\|？,0.176758|0.121094|0.050537|0.034668|0.027100,4,フランス|の|首都|は,140932|15767|106114|15322,32.91
8,法国的首都是,巴黎,106004,0.363281,巴黎|____|哪里|法国|什么,0.363281|0.104004|0.043213|0.031738|0.021729,4,法国|的|首|都是,104328|9370|59975|100132,35.48
9,프랑스의 수도는, �,10764,0.032715, �| 분| �| 기| �,0.032715|0.023926|0.021118|0.021118|0.021118,6,프|랑|스|의| 수도|는,126445|133738|24897|20401|134013|16560,33.44
10,De hoofdstad van Frankrijk is, ,220,0.447266, | on| een| sometimes| wa,0.447266|0.031494|0.019043|0.013123|0.010193,8,De| hoof|dst|ad| van| Frank|rijk| is,1912|84730|15658|329|5242|9270|86674|374,33.10
11,Frankrikes huvudstad är, ,220,0.351562, | en| med| att| inte,0.351562|0.156250|0.015442|0.014954|0.014038,7,Frank|rikes| h|uv|ud|stad| är,37326|67631|305|12058|661|46840|18593,33.28
