prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of France is, Paris,0.191406,5,35.42,6.3868,6.2560,1.0972,106.2506,96.6839,155.6175,0.839625,0.919802,1975.7637
1,Die Hauptstadt von Frankreich ist, ein,0.235352,7,33.54,8.2331,8.6835,1.2741,97.6507,83.3541,143.7796,0.843233,0.913201,1984.6990
2,La capitale de la France est, ,0.253906,7,33.29,7.9686,7.9598,1.1968,94.7635,80.9600,148.7551,0.843853,0.923182,2017.2498
3,La capital de Francia es, ,0.227539,6,34.52,8.2061,7.4824,1.2445,96.1869,90.2799,151.8495,0.839946,0.917377,1905.8035
4,La capitale della Francia è, ,0.441406,7,35.10,7.6110,5.5889,1.2326,93.6140,81.7044,147.9144,0.846874,0.921407,2098.7935
5,A capital da França é, ,0.373047,6,33.47,7.1939,6.9357,1.2200,99.1290,81.9467,148.0031,0.848199,0.919164,2049.2820
6,Столица Франции —, это,0.041992,8,33.85,9.0459,10.4768,1.1399,97.1968,76.2414,138.0505,0.840460,0.908960,1948.5731
7,フランスの首都は,、,0.176758,4,32.91,9.2662,8.3843,0.9378,99.2893,113.3484,180.1733,0.850260,0.918234,2127.7466
8,法国的首都是,巴黎,0.363281,4,35.48,9.8149,6.2885,1.0856,101.3840,114.9943,176.8039,0.859391,0.925477,2034.9087
9,프랑스의 수도는, �,0.032715,6,33.44,11.4176,12.3216,0.9711,97.8949,96.9717,166.5310,0.851635,0.914554,2109.0083
10,De hoofdstad van Frankrijk is, ,0.447266,8,33.10,8.2439,7.1272,1.2493,96.2559,73.3456,139.2060,0.834921,0.916574,2113.3928
11,Frankrikes huvudstad är, ,0.351562,7,33.28,8.5764,7.0331,1.2289,97.5096,81.2583,144.1754,0.842311,0.917566,2014.4312
