layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.346949,0.226528,0.435158,0.917136,1.093431
1,41.256630,4.862568,19.537230,27.883331,32.744987
2,50.113159,5.976727,26.438173,33.840794,44.754562
3,59.786564,8.665109,31.476009,40.332455,58.295544
4,67.672394,9.898313,36.055782,45.627350,66.868927
5,73.500610,10.747776,40.879185,49.541340,71.870232
6,70.461128,10.659331,38.998379,47.476578,69.077827
7,71.360909,12.099852,39.843491,48.073563,72.399071
8,72.292267,13.572637,42.327114,48.615627,72.589500
9,79.049721,13.174575,48.837437,53.212162,75.337502
10,83.572479,12.994349,53.856514,56.290314,80.007614
11,88.856918,12.558062,60.820915,59.915730,81.742836
12,88.533562,12.161232,61.102764,59.720474,80.324654
13,89.597878,12.197771,63.402012,60.459080,81.065834
14,96.041473,13.757830,73.328201,64.785881,87.925163
15,96.180412,13.376769,75.728569,64.855476,88.628021
16,98.767944,13.357661,81.222855,66.614410,88.487122
17,102.161797,14.892512,82.410622,68.849991,89.306580
18,107.124512,16.258348,87.337982,72.210213,95.140839
19,114.311256,17.870108,99.069221,77.055634,102.010361
20,127.711647,18.874670,105.345726,86.080238,107.648132
21,146.054840,21.075993,116.911232,98.473961,129.831543
22,180.608643,26.730709,162.416718,121.980125,156.348663
23,220.685516,34.449944,180.064453,148.983261,204.850082
24,275.317505,48.176800,217.996719,185.680191,257.791168
25,341.359222,47.357109,278.661407,230.756546,291.391998
26,417.849182,51.347672,317.900299,282.351807,343.302734
27,514.090332,47.464565,417.484985,348.112946,395.931549
28,125.319275,16.018568,52.620449,84.964394,102.134895
