layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.573289,1.006792,1.130519,1.202608,1.822173
1,39.077000,18.542570,43.438618,26.798573,54.532055
2,41.714497,19.171936,56.911793,28.733425,56.169601
3,46.496094,20.668200,61.908340,31.993265,61.223000
4,55.341171,22.521322,68.564049,38.002708,67.124298
5,72.718102,25.880222,77.707512,49.278755,83.352448
6,84.693848,26.504704,88.215385,57.483532,88.362541
7,93.724121,29.510706,94.295815,63.395069,100.958656
8,99.191208,30.029940,99.990089,67.204239,104.029396
9,110.296745,34.506409,113.916618,75.230865,109.240768
10,115.490807,36.651466,129.532898,78.703270,119.495979
11,123.255066,35.819855,141.650436,83.584358,123.851913
12,136.090607,33.511448,147.847702,91.975662,129.465637
13,146.532349,32.196117,144.117126,98.999763,134.249619
14,150.639038,32.421024,142.511368,101.736504,135.650101
15,161.358612,30.519665,140.172928,108.781631,139.480637
16,168.321289,31.365131,139.331558,113.533302,142.326782
17,182.206116,31.163857,142.933350,122.893188,149.435211
18,190.003143,32.326073,146.101807,128.120789,157.750793
19,195.224594,33.330063,148.304565,131.664520,161.589340
20,202.729141,33.907261,151.634201,136.689911,167.176865
21,209.997650,34.157066,156.506241,141.685394,169.465042
22,213.699631,34.665482,161.593018,144.296616,170.428162
23,216.915878,34.754112,162.871567,146.472366,170.253937
24,216.909836,34.731548,163.470261,146.477707,169.010818
25,221.587189,35.049744,166.326385,149.685516,170.674149
26,223.529465,35.539818,166.882584,151.028549,172.259903
27,225.592072,36.376751,168.843781,152.451019,173.211945
28,228.750397,37.902489,170.923248,154.761398,175.366501
29,229.275375,38.294098,175.573380,155.189285,173.997421
30,232.337265,39.067596,175.656158,157.391571,175.388687
31,233.047638,38.957752,176.946213,157.848602,176.796417
32,236.673523,40.165714,183.162384,160.348755,182.168457
33,237.119156,40.480556,191.015366,160.903625,181.110138
34,238.259659,41.133099,199.144302,161.809616,180.090988
35,242.131271,41.314892,208.958466,164.489777,181.935242
36,242.532898,41.962643,211.431427,164.853104,180.816452
37,243.169495,43.160248,218.768936,165.433807,180.357117
38,245.325928,44.252861,226.267395,166.988739,180.935059
39,245.847824,43.964420,238.251007,167.296997,180.397430
40,247.586243,44.851391,250.294571,168.512451,181.686264
41,252.984573,46.136795,272.336273,172.240341,187.056229
42,253.391037,45.534187,259.932953,172.441315,187.359818
43,258.093475,46.906570,263.190460,175.687469,192.880875
44,267.333405,50.004364,274.647949,182.124893,200.402664
45,280.048645,53.746536,313.866119,190.938522,210.547989
46,293.902527,56.619385,326.552734,200.426239,220.708344
47,309.487640,58.181492,337.094513,210.868896,236.322311
48,335.000610,62.977695,362.796478,228.166702,257.853088
49,357.487457,65.059868,390.636292,243.050171,286.169830
50,407.652985,69.823494,437.994720,276.442078,323.693695
51,430.303528,71.037270,455.763824,291.427551,338.750977
52,457.495605,76.284309,490.962250,309.787872,370.038757
53,528.425964,89.905350,520.426331,356.937347,454.308228
54,565.651245,96.924057,541.690491,381.848206,490.102600
55,598.638306,105.323883,579.388428,404.057373,529.467163
56,647.981445,120.080811,647.294800,438.055511,575.213257
57,692.715393,133.483963,705.760864,468.465820,628.175659
58,728.718933,141.412506,753.978577,492.753265,663.121582
59,772.335144,152.756882,819.011780,522.415833,701.373169
60,818.174072,164.165009,913.158386,553.509033,746.490356
61,883.558960,181.644897,1078.074341,598.371277,801.394409
62,965.388733,206.444168,1258.049683,655.475464,855.844116
63,1180.747314,288.312805,2058.276123,805.927734,1065.371216
64,125.145988,44.141094,170.751007,86.896278,135.734009
