layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.346949,0.226528,0.435158,0.917136,1.093431
1,38.471760,4.936628,18.735619,26.015966,33.063225
2,45.937801,4.870832,25.361862,31.061224,36.865322
3,55.692268,7.272360,31.479307,37.620892,46.367115
4,63.001686,7.620496,36.797844,42.546223,52.994900
5,67.545853,7.878480,40.924961,45.612103,57.156693
6,65.231819,8.685046,39.545048,43.986553,57.347691
7,67.523109,9.912676,42.044075,45.525574,62.757225
8,68.961472,11.896830,44.026909,46.416702,66.806213
9,75.302635,11.172891,49.235569,50.785458,66.933113
10,80.524155,11.739161,56.916527,54.293488,73.790413
11,83.943901,12.751602,61.243420,56.562607,78.026909
12,84.590408,12.593836,65.059929,57.022053,78.368240
13,86.383659,12.848391,68.370682,58.225132,78.051819
14,92.484261,14.360021,78.461792,62.317093,83.921234
15,92.720917,14.105904,81.991402,62.472912,84.348877
16,93.590141,14.353312,88.136459,63.055668,84.741127
17,95.716705,14.288294,89.669739,64.528389,83.652443
18,101.600838,14.853793,95.753960,68.562492,87.042831
19,107.959129,16.099773,109.649162,72.882965,92.685043
20,121.504059,19.219683,114.930145,81.953415,111.517281
21,137.324646,19.900864,126.130196,92.763695,123.008377
22,166.871017,22.570568,171.951630,113.005493,140.459412
23,202.638962,26.992865,188.502823,137.312973,169.510498
24,251.168594,35.009869,227.204529,170.296799,213.164841
25,307.976349,36.329403,297.078705,209.179993,238.814575
26,367.518951,42.552010,328.725342,249.282776,281.615417
27,442.548584,47.597252,419.937195,300.055725,347.124786
28,117.581421,17.684204,57.910995,79.619026,98.794914
