prompt_idx,prompt,predicted_next_token,predicted_next_token_id,predicted_next_prob,top5_tokens,top5_probs,n_tokens,tokens,token_ids,inference_time_ms
0,The capital of France is, Paris,12095,0.090820, Paris| the| in| a| **,0.090820|0.080566|0.066406|0.062500|0.055176,14,"Important|:| only| reply| with| a| single| token|.
|The| capital| of| France| is",52280|25|1172|9851|448|264|3175|3950|624|785|6722|315|9625|374,35.58
1,Die Hauptstadt von Frankreich ist, so,773,0.027954," so| als| mit| der|
",0.027954|0.027100|0.025513|0.022461|0.015442,16,"Important|:| only| reply| with| a| single| token|.
|Die| Haupt|stadt| von| Frank|reich| ist",52280|25|1172|9851|448|264|3175|3950|624|18175|89931|44278|6538|9270|40334|5999,33.24
2,La capitale de la France est, __,1304,0.132812, __|:| which|____| le,0.132812|0.075684|0.066895|0.058838|0.058838,16,"Important|:| only| reply| with| a| single| token|.
|La| capit|ale| de| la| France| est",52280|25|1172|9851|448|264|3175|3950|624|8747|60410|1574|409|1187|9625|1788,33.42
3,La capital de Francia es, ,220,0.621094, | F| la| ____| el,0.621094|0.034912|0.032715|0.019897|0.015991,15,"Important|:| only| reply| with| a| single| token|.
|La| capital| de| Franc|ia| es",52280|25|1172|9851|448|264|3175|3950|624|8747|6722|409|9694|685|1531,33.49
4,La capitale della Francia è,...,1112,0.124023,"...| ______|:|...
| __",0.124023|0.090820|0.062256|0.051514|0.042725,16,"Important|:| only| reply| with| a| single| token|.
|La| capit|ale| della| Franc|ia| è",52280|25|1172|9851|448|264|3175|3950|624|8747|60410|1574|15230|9694|685|11422,33.28
5,A capital da França é, um,4443,0.441406," um|:

| ""|:| do",0.441406|0.030029|0.030029|0.021973|0.020630,15,"Important|:| only| reply| with| a| single| token|.
|A| capital| da| Fran|ça| é",52280|25|1172|9851|448|264|3175|3950|624|32|6722|2994|30825|17472|3958,33.30
6,Столица Франции —, —,1959,0.267578, —| | С| St| how,0.267578|0.092773|0.031982|0.018188|0.015137,17,"Important|:| only| reply| with| a| single| token|.
|Ст|ол|и|ца| Ф|ран|ции| —",52280|25|1172|9851|448|264|3175|3950|624|73498|7819|1802|86894|66791|34582|56086|1959,33.85
7,フランスの首都は,"?
",5267,0.261719,"?
|何处|？
|
| ?
",0.261719|0.075195|0.066406|0.062256|0.033447,13,"Important|:| only| reply| with| a| single| token|.
|フランス|の|首都|は",52280|25|1172|9851|448|264|3175|3950|624|140932|15767|106114|15322,33.23
8,法国的首都是,哪里,101314,0.175781,哪里|巴黎|哪个|什么|哪,0.175781|0.155273|0.073242|0.050537|0.030640,13,"Important|:| only| reply| with| a| single| token|.
|法国|的|首|都是",52280|25|1172|9851|448|264|3175|3950|624|104328|9370|59975|100132,33.06
9,프랑스의 수도는, ,220,0.162109," | �|
|?
| 수",0.162109|0.049316|0.029907|0.012512|0.010376,15,"Important|:| only| reply| with| a| single| token|.
|프|랑|스|의| 수도|는",52280|25|1172|9851|448|264|3175|3950|624|126445|133738|24897|20401|134013|16560,33.48
10,De hoofdstad van Frankrijk is, de,409,0.053467, de| | op| **| sometimes,0.053467|0.035645|0.032471|0.022339|0.013550,17,"Important|:| only| reply| with| a| single| token|.
|De| hoof|dst|ad| van| Frank|rijk| is",52280|25|1172|9851|448|264|3175|3950|624|1912|84730|15658|329|5242|9270|86674|374,33.34
11,Frankrikes huvudstad är, en,662,0.601562, en| | inte| f| k,0.601562|0.047852|0.021240|0.007812|0.007111,16,"Important|:| only| reply| with| a| single| token|.
|Frank|rikes| h|uv|ud|stad| är",52280|25|1172|9851|448|264|3175|3950|624|37326|67631|305|12058|661|46840|18593,33.29
