prompt_idx,prompt,predicted_next_token,predicted_prob,n_tokens,inference_time_ms,mean_entropy,final_entropy,mean_norm_first_layer,mean_norm_last_layer,mean_delta_early,mean_delta_late,mean_cosine_early,mean_cosine_late,total_path_length
0,The capital of France is, Paris,0.090820,14,35.58,5.2934,6.1948,1.1707,103.5606,55.2959,117.1057,0.832983,0.914219,1856.6671
1,Die Hauptstadt von Frankreich ist, so,0.027954,16,33.24,6.9224,11.4678,1.2389,101.1345,52.6876,116.1922,0.837620,0.914415,2008.9697
2,La capitale de la France est, __,0.132812,16,33.42,4.9719,5.8858,1.2051,98.1433,53.0874,120.7845,0.835637,0.915007,1970.2877
3,La capital de Francia es, ,0.621094,15,33.49,4.9578,4.1837,1.2247,98.2415,54.3014,120.3143,0.833398,0.913995,1952.0386
4,La capitale della Francia è,...,0.124023,16,33.28,5.4749,5.9285,1.2207,97.9377,53.2293,119.6219,0.836748,0.914468,1947.2554
5,A capital da França é, um,0.441406,15,33.30,5.3086,6.0791,1.2149,100.7948,53.8419,117.4128,0.836918,0.913807,1950.4866
6,Столица Франции —, —,0.267578,17,33.85,5.9617,8.8394,1.1778,97.7098,50.7187,112.5299,0.836322,0.913638,1750.7061
7,フランスの首都は,"?
",0.261719,13,33.23,6.1664,6.9685,1.1273,100.8711,57.4300,120.2453,0.839438,0.914568,1994.4529
8,法国的首都是,哪里,0.175781,13,33.06,6.1141,6.9132,1.1728,102.3453,57.5758,121.6672,0.841327,0.914755,1956.4130
9,프랑스의 수도는, ,0.162109,15,33.48,6.9819,10.9788,1.1154,99.7635,53.1111,117.3280,0.837659,0.912081,1955.5488
10,De hoofdstad van Frankrijk is, de,0.053467,17,33.34,6.0055,10.8869,1.2293,99.8817,51.6405,115.7673,0.833722,0.913639,1987.4677
11,Frankrikes huvudstad är, en,0.601562,16,33.29,5.5837,5.2180,1.2191,100.8390,52.5499,115.3980,0.836712,0.911998,1864.3832
