layer,mean_pairwise_distance_final_token,std_pairwise_distance_final_token,centroid_norm,mean_distance_to_centroid,max_distance_to_centroid
0,1.569700,0.552090,0.568584,1.094469,1.379927
1,42.172859,8.606791,20.499651,28.310932,34.717300
2,47.396599,8.522607,27.039085,31.675611,38.848412
3,64.926842,13.294232,33.384575,43.422375,53.346363
4,76.252556,13.863190,37.224159,50.858612,60.149521
5,82.159904,14.410026,40.824535,54.592018,67.679039
6,80.973755,13.950077,39.681026,53.798157,65.126366
7,83.590767,13.896743,41.485714,55.628185,66.244705
8,87.790947,13.404488,43.323185,58.434338,67.476799
9,94.606140,14.579569,47.436611,62.886238,78.492012
10,101.678383,14.195688,53.016083,67.616936,80.932808
11,104.803337,14.261398,56.069729,69.721642,79.495819
12,109.828850,14.583005,60.177132,73.017456,81.364532
13,110.030678,14.893215,61.451530,73.184189,81.447884
14,115.985062,14.603641,68.340164,77.094406,84.937241
15,114.538231,15.048315,70.530838,76.124557,85.616135
16,117.999557,15.404843,76.699509,78.449722,86.758530
17,121.114967,16.089973,78.903549,80.598999,88.965698
18,127.081741,17.236120,82.214714,84.569748,92.974457
19,138.463699,18.411526,91.535637,92.190094,98.365929
20,161.806366,24.483341,108.543198,107.957314,119.573990
21,181.574692,26.125053,120.360008,121.026924,134.114395
22,222.920685,32.731419,163.149445,148.488266,174.054611
23,266.237366,39.144566,181.406204,177.400711,202.799667
24,301.518158,44.477402,223.191147,200.886536,232.230820
25,365.418030,58.315468,281.340332,243.535660,285.653229
26,415.546875,65.933258,332.306854,276.925659,320.811859
27,483.467102,74.927925,425.664124,322.384949,361.766357
28,116.847763,21.275112,74.092682,78.215302,88.654526
